,name,selling_price,km_driven,fuel,transmission
978,2018 Hyundai Creta,"1,154,099","71,967 km",Diesel,Manual
979,-,-,-,-,-
980,-,-,-,-,-
981,-,-,-,-,-
982,-,-,-,-,-
983,2017 Maruti Ertiga,"789,299","4,724 km",Petrol,Manual
984,2018 Maruti Baleno,"604,699","31,020 km",Petrol,Manual
985,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
986,-,-,-,-,-
987,-,-,-,-,-
988,-,-,-,-,-
989,-,-,-,-,-
990,2016 Maruti Baleno,"619,699","25,529 km",Petrol,Manual
991,-,-,-,-,-
992,-,-,-,-,-
993,-,-,-,-,-
994,2020 Maruti S PRESSO,"402,899","3,606 km",Petrol,Manual
995,2015 Hyundai Grand i10,"460,999","40,792 km",Petrol,Manual
996,-,-,-,-,-
997,-,-,-,-,-
998,2017 Maruti Vitara Brezza,"768,599","95,064 km",Diesel,Manual
999,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
1000,-,-,-,-,-
1001,-,-,-,-,-
1002,-,-,-,-,-
1003,-,-,-,-,-
1004,2015 Maruti Swift,"453,599","27,868 km",Diesel,Manual
1005,-,-,-,-,-
1006,2014 Maruti Swift,"371,399","45,932 km",Petrol,Manual
1007,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
1008,-,-,-,-,-
1009,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
1010,-,-,-,-,-
1011,-,-,-,-,-
1012,2018 Maruti Wagon R 1.0,"414,899","31,829 km",Petrol,Manual
1013,-,-,-,-,-
1014,-,-,-,-,-
1015,-,-,-,-,-
1016,2020 Maruti New Wagon-R,"509,199","6,879 km",Petrol,Manual
1017,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
1018,2018 Hyundai Creta,"1,154,099","71,967 km",Diesel,Manual
1019,-,-,-,-,-
1020,-,-,-,-,-
1021,-,-,-,-,-
1022,-,-,-,-,-
1023,2017 Maruti Ertiga,"854,899","62,533 km",Diesel,Manual
1024,2018 Maruti Baleno,"604,699","31,020 km",Petrol,Manual
1025,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
1026,-,-,-,-,-
1027,-,-,-,-,-
1028,-,-,-,-,-
1029,-,-,-,-,-
