,name,selling_price,km_driven,fuel,transmission
482,-,-,-,-,-
483,-,-,-,-,-
484,2015 Maruti Swift Dzire,"578,399","38,769 km",Diesel,Manual
485,-,-,-,-,-
486,2014 Maruti Swift,"371,399","45,932 km",Petrol,Manual
487,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
488,-,-,-,-,-
489,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
490,-,-,-,-,-
491,-,-,-,-,-
492,2018 Maruti Wagon R 1.0,"414,899","31,829 km",Petrol,Manual
493,-,-,-,-,-
494,-,-,-,-,-
495,-,-,-,-,-
496,2020 Maruti New Wagon-R,"509,199","6,879 km",Petrol,Manual
497,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
498,2017 Hyundai Creta,"1,127,699","77,777 km",Diesel,Automatic
499,-,-,-,-,-
500,-,-,-,-,-
501,-,-,-,-,-
502,-,-,-,-,-
503,-,-,-,-,-
504,2015 Maruti Swift,"453,599","27,868 km",Diesel,Manual
505,-,-,-,-,-
506,2014 Maruti Swift,"371,399","45,932 km",Petrol,Manual
507,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
508,-,-,-,-,-
509,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
510,-,-,-,-,-
511,-,-,-,-,-
512,2014 Maruti Wagon R 1.0,"338,199","45,680 km",Petrol,Manual
513,-,-,-,-,-
514,-,-,-,-,-
515,-,-,-,-,-
516,2020 Maruti New Wagon-R,"509,199","6,879 km",Petrol,Manual
517,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
518,2017 Hyundai Creta,"1,127,699","77,777 km",Diesel,Automatic
519,-,-,-,-,-
520,-,-,-,-,-
521,-,-,-,-,-
522,-,-,-,-,-
523,-,-,-,-,-
524,2015 Maruti Swift,"453,599","27,868 km",Diesel,Manual
525,-,-,-,-,-
526,2016 Maruti Swift,"497,999","72,625 km",Petrol,Manual
527,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
528,-,-,-,-,-
529,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
530,-,-,-,-,-
531,-,-,-,-,-
532,2018 Maruti Wagon R 1.0,"414,899","31,829 km",Petrol,Manual
533,-,-,-,-,-
534,-,-,-,-,-
535,-,-,-,-,-
536,2020 Maruti New Wagon-R,"509,199","6,879 km",Petrol,Manual
537,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
538,2017 Hyundai Creta,"1,127,699","77,777 km",Diesel,Automatic
539,-,-,-,-,-
540,-,-,-,-,-
541,-,-,-,-,-
542,-,-,-,-,-
543,-,-,-,-,-
544,2015 Maruti Swift Dzire,"578,399","38,769 km",Diesel,Manual
545,-,-,-,-,-
546,2016 Maruti Swift,"497,999","72,625 km",Petrol,Manual
547,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
548,-,-,-,-,-
549,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
550,-,-,-,-,-
551,-,-,-,-,-
552,2018 Maruti Wagon R 1.0,"414,899","31,829 km",Petrol,Manual
553,-,-,-,-,-
554,-,-,-,-,-
555,-,-,-,-,-
556,2020 Maruti New Wagon-R,"509,199","6,879 km",Petrol,Manual
557,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
558,2018 Hyundai Creta,"1,154,099","71,967 km",Diesel,Manual
559,-,-,-,-,-
560,-,-,-,-,-
561,-,-,-,-,-
562,-,-,-,-,-
563,-,-,-,-,-
564,2015 Maruti Swift Dzire,"578,399","38,769 km",Diesel,Manual
565,-,-,-,-,-
566,2014 Maruti Swift,"371,399","45,932 km",Petrol,Manual
567,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
568,-,-,-,-,-
569,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
570,-,-,-,-,-
571,-,-,-,-,-
572,2014 Maruti Wagon R 1.0,"338,199","45,680 km",Petrol,Manual
573,-,-,-,-,-
574,-,-,-,-,-
575,-,-,-,-,-
576,2020 Maruti New Wagon-R,"509,199","6,879 km",Petrol,Manual
577,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
578,2018 Hyundai Creta,"1,154,099","71,967 km",Diesel,Manual
579,-,-,-,-,-
580,-,-,-,-,-
581,-,-,-,-,-
582,-,-,-,-,-
583,-,-,-,-,-
584,2015 Maruti Swift Dzire,"578,399","38,769 km",Diesel,Manual
585,-,-,-,-,-
586,2014 Maruti Swift,"371,399","45,932 km",Petrol,Manual
587,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
588,-,-,-,-,-
589,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
590,-,-,-,-,-
591,-,-,-,-,-
592,2018 Maruti Wagon R 1.0,"414,899","31,829 km",Petrol,Manual
593,-,-,-,-,-
594,-,-,-,-,-
595,-,-,-,-,-
596,2020 Maruti New Wagon-R,"509,199","6,879 km",Petrol,Manual
597,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
598,2017 Hyundai Creta,"1,177,199","52,753 km",Diesel,Automatic
599,-,-,-,-,-
600,-,-,-,-,-
601,-,-,-,-,-
602,-,-,-,-,-
603,-,-,-,-,-
604,2015 Maruti Swift Dzire,"578,399","38,769 km",Diesel,Manual
605,-,-,-,-,-
606,2014 Maruti Swift,"371,399","45,932 km",Petrol,Manual
607,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
608,-,-,-,-,-
609,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
610,-,-,-,-,-
611,-,-,-,-,-
612,2018 Maruti Wagon R 1.0,"414,899","31,829 km",Petrol,Manual
613,-,-,-,-,-
614,-,-,-,-,-
615,-,-,-,-,-
616,2020 Maruti New Wagon-R,"509,199","6,879 km",Petrol,Manual
617,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
618,2018 Hyundai Creta,"1,154,099","71,967 km",Diesel,Manual
619,-,-,-,-,-
620,-,-,-,-,-
621,-,-,-,-,-
622,-,-,-,-,-
623,-,-,-,-,-
624,2015 Maruti Swift,"453,599","27,868 km",Diesel,Manual
625,-,-,-,-,-
626,2016 Maruti Swift,"497,999","72,625 km",Petrol,Manual
627,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
628,-,-,-,-,-
629,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
630,-,-,-,-,-
631,-,-,-,-,-
632,2018 Maruti Wagon R 1.0,"414,899","31,829 km",Petrol,Manual
633,-,-,-,-,-
634,-,-,-,-,-
635,-,-,-,-,-
636,2020 Maruti New Wagon-R,"509,199","6,879 km",Petrol,Manual
637,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
638,2018 Hyundai Creta,"1,154,099","71,967 km",Diesel,Manual
639,-,-,-,-,-
640,-,-,-,-,-
641,-,-,-,-,-
642,-,-,-,-,-
643,-,-,-,-,-
644,2015 Maruti Swift Dzire,"578,399","38,769 km",Diesel,Manual
645,-,-,-,-,-
646,2016 Maruti Swift,"497,999","72,625 km",Petrol,Manual
647,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
648,-,-,-,-,-
649,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
650,-,-,-,-,-
651,-,-,-,-,-
652,2018 Maruti Wagon R 1.0,"414,899","31,829 km",Petrol,Manual
653,-,-,-,-,-
654,-,-,-,-,-
655,-,-,-,-,-
656,2020 Maruti New Wagon-R,"509,199","6,879 km",Petrol,Manual
657,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
658,2017 Hyundai Creta,"1,127,699","77,777 km",Diesel,Automatic
659,-,-,-,-,-
660,-,-,-,-,-
661,-,-,-,-,-
662,-,-,-,-,-
663,-,-,-,-,-
664,2015 Maruti Swift,"453,599","27,868 km",Diesel,Manual
665,-,-,-,-,-
666,2014 Maruti Swift,"371,399","45,932 km",Petrol,Manual
667,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
668,-,-,-,-,-
669,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
670,-,-,-,-,-
671,-,-,-,-,-
672,2014 Maruti Wagon R 1.0,"338,199","45,680 km",Petrol,Manual
673,-,-,-,-,-
674,-,-,-,-,-
675,-,-,-,-,-
676,2020 Maruti New Wagon-R,"509,199","6,879 km",Petrol,Manual
677,2020 KIA SELTOS,"1,159,099","5,822 km",Petrol,Manual
678,2017 Hyundai Creta,"1,177,199","52,753 km",Diesel,Automatic
679,-,-,-,-,-
680,-,-,-,-,-
681,-,-,-,-,-
682,-,-,-,-,-
683,-,-,-,-,-
684,2015 Maruti Swift,"453,599","27,868 km",Diesel,Manual
685,-,-,-,-,-
